path,label,aspect_ratio,log_width,log_height,is_square,is_standard_ai_size,has_gps,has_camera,has_shooting_params,metadata_removed,has_c2pa,c2pa_algorithmic_hint,c2pa_manifest_n,c2pa_agent_len,c2pa_generator_len,exif_field_count,software_str_len,has_exif_flag,has_xmp_flag,contradictions_n,ai_software_list_count,suspicious_features_n,metadata_keyword_hits,metadata_trace_len_k
data\raw\real\.trashed-1745056901-IMG20250130185133.jpg,0,0.5640138408304498,7.866722285136729,8.439231649946526,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.312
data\raw\real\754598669043773.jpeg,0,1.25,5.5254529391317835,5.303304908059076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.752
data\raw\real\DSC00060.JPG,0,1.3333333333333333,8.547334348328224,8.259716961021523,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,60.175
data\raw\real\DSC00061.JPG,0,1.3333333333333333,8.547334348328224,8.259716961021523,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,58.003
data\raw\real\DSC03124.JPG,0,1.3333333333333333,7.860570785538664,7.573017256052546,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,60.19
data\raw\real\Falcon_1_Flight_4_liftoff.jpg,0,1.3333333333333333,6.46302945692067,6.175867270105761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,29.0,1.0,1.0,0.0,0.0,0.0,1.0,45.102
data\raw\real\IMG_20210108_172400_1.jpg,0,1.7777777777777777,8.302265794873367,7.727094484779841,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,30.429
data\raw\real\IMG_20210302_220136.jpg,0,1.5147155003270112,7.748028524432376,7.333023014386481,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,59.0,1.0,1.0,0.0,0.0,0.0,0.0,4.608
data\raw\real\ORBCOMM-2_First-Stage_Landing_(23271687254).jpg,0,1.5,7.560601162768557,7.155396301896734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.587
data\raw\real\pb1220939598.jpg,0,0.9333333333333333,5.860786223465865,5.929589143389895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.74
